ID,Label,Elevation (Ground) (m),Elevation (Rim) (m),X (m),Y (m),Bolted Cover?,Elevation (Invert) (m),Flow (Total In) (m³/h),Flow (Total Out) (m³/h),Hydraulic Grade Line (Out) (m),Hydraulic Grade Line (In) (m),Sanitary Loads,Notes,Population (Local Sanitary) (Capita),Is Active?,MH BY YG
2269,MH377,0.0,0.0,164301.0,578813.17,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2285,MH379,0.0,0.0,164360.93,579732.55,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2286,MH380,0.0,0.0,164355.21,579730.21,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2287,MH381,0.0,0.0,163455.2,580350.26,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2288,MH382,0.0,0.0,163457.06,580363.82,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2290,MH384,0.0,0.0,163358.07,580035.45,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2292,MH386,0.0,0.0,163342.76,580036.37,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2293,MH387,0.0,0.0,164571.06,580356.06,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2295,MH389,0.0,0.0,163216.26,580772.39,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2298,MH392,0.0,0.0,163301.75,580222.86,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2300,MH394,0.0,0.0,163380.07,580216.79,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2302,MH396,0.0,0.0,164371.72,578806.7,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2303,MH397,0.0,0.0,163850.53,580137.54,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2304,MH398,0.0,0.0,163764.78,579950.06,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2305,MH399,0.0,0.0,164144.53,580800.29,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2306,MH400,0.0,0.0,163950.83,580988.23,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2307,MH401,0.0,0.0,163170.19,580135.44,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2308,MH402,0.0,0.0,163165.45,580117.93,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2309,MH403,0.0,0.0,163146.79,580119.43,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2310,MH404,0.0,0.0,163146.95,580115.04,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2313,MH407,0.0,0.0,164417.62,578803.88,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2315,MH409,0.0,0.0,163119.55,580102.46,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2317,MH411,0.0,0.0,163115.31,580130.19,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2321,MH415,0.0,0.0,163101.16,580114.73,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2322,MH416,0.0,0.0,163101.06,580108.84,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2323,MH417,0.0,0.0,163105.94,580103.48,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2324,MH418,0.0,0.0,164501.66,578889.21,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2328,MH422,0.0,0.0,163884.79,580563.14,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2331,MH425,0.0,0.0,163872.36,580563.32,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2336,MH430,0.0,0.0,163857.01,580563.18,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2337,MH431,0.0,0.0,163929.92,581413.29,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2338,MH432,0.0,0.0,163329.65,580037.0,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2339,MH433,0.0,0.0,163102.17,580001.02,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2343,MH437,0.0,0.0,163123.19,580057.89,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2348,MH439,120.39,120.39,163954.77,581342.3,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2357,MH443,0.0,0.0,164469.34,578861.11,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2362,MH444,122.11,122.11,164250.53,581219.69,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2367,MH445,0.0,0.0,164596.4,581224.53,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2369,MH447,0.0,0.0,164444.48,578862.74,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2370,MH448,0.0,0.0,164535.14,581224.92,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2371,MH449,125.26,125.26,164748.22,581220.32,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2384,MH452,123.85,123.85,164302.33,580825.46,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2391,MH453,0.0,0.0,164464.13,578800.97,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2408,MH457,127.03,127.03,164713.64,580695.14,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2424,MH462,0.0,0.0,164459.03,578749.86,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2425,MH463,127.77,127.77,164708.63,580610.42,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2429,MH467,130.09,130.09,164689.01,580487.5,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2435,MH470,0.0,0.0,164458.82,578741.76,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2446,MH474,0.0,0.0,164457.1,578714.83,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2458,MH476,138.73,138.73,164662.48,580228.35,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2461,MH479,140.25,140.25,164537.91,580221.24,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2479,MH481,0.0,0.0,162868.15,579705.56,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2480,MH482,0.0,0.0,164407.81,578685.15,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2491,MH483,0.0,0.0,164431.05,578683.02,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2500,MH484,0.0,0.0,162839.25,579843.12,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
